,pl,be,uk,ru,bg,sl,cs,gender,en
934,Henri Dunant,Жан Анры Дзюнан,Анрі Дюнан,Анри Дюнан,Анри Дюнан,Henri Dunant,Henri Dunant,m,Henry Dunant
935,John Browning,Джон Браўнінг,Джон Браунінг,Джон Браунинг,Джон Браунинг,John Moses Browning,John Browning,m,John Browning
936,Hugo Chávez,Уга Чавес,Уго Чавес,Уго Чавес,Уго Чавес,Hugo Chávez,Hugo Chávez,m,Hugo Chávez
937,Żores Ałfiorow,Жарэс Іванавіч Алфёраў,Жорес Алфьоров,Жорес Алфёров,Жорес Алфьоров,Žores Ivanovič Alfjorov,Žores Ivanovič Alfjorov,m,Zhores Alferov
938,Tomasz More,Томас Мор,Томас Мор,Томас Мор,Томас Мор,Thomas More,Thomas More,m,Thomas More
939,Gabriela Sabatini,Габрыэла Сабаціні,Габріела Сабатіні,Габриэла Сабатини,Габриела Сабатини,Gabriela Sabatini,Gabriela Sabatini,f,Gabriela Sabatini
940,Juan Rulfo,Хуан Рульфа,Хуан Рульфо,Хуан Рульфо,Хуан Рулфо,Juan Rulfo,Juan Rulfo,m,Juan Rulfo
941,Sandro Botticelli,Сандра Бацічэлі,Сандро Боттічеллі,Сандро Боттичелли,Сандро Ботичели,Sandro Botticelli,Sandro Botticelli,m,Sandro Botticelli
942,Michaił Kałasznikow,Міхаіл Цімафеевіч Калашнікаў,Михайло Калашников,Михаил Калашников,Михаил Калашников,Mihail Timofejevič Kalašnikov,Michail Kalašnikov,m,Mikhail Kalashnikov
943,Corneille Heymans,Карней Хейманс,Корней Гейманс,Корней Хейманс,Корней Хейманс,Corneille Heymans,Corneille Heymans,m,Corneille Heymans
944,Hồ Chí Minh,Хо Шы Мін,Хо Ші Мін,Хо Ши Мин,Хо Ши Мин,Ho Ši Minh ,Ho Či Min,m,Ho Chi Minh
945,Mick Jagger,Мік Джагер,Мік Джаггер,Мик Джаггер,Мик Джагър,Mick Jagger,Mick Jagger,m,Mick Jagger
946,Gabriela Mistral,Габрыела Містраль,Габріела Містраль,Габриела Мистраль,Габриела Мистрал,Gabriela Mistral,Gabriela Mistralová,f,Gabriela Mistral
947,Joe Cocker,Джо Кокер,Джо Кокер,Джо Кокер,Джо Кокър,Joe Cocker,Joe Cocker,m,Joe Cocker
948,Cher,Шэр,Шер,Шер,Шер,Cher ,Cher,f,Cher
949,Paul Ricœur,Поль Рыкёр,Поль Рікер,Поль Рикёр,Пол Рикьор,Paul Ricœur,Paul Ricoeur,m,Paul Ricœur
950,Pieter Bruegel ,Пітэр Брэйгель Старэйшы,Пітер Брейгель,Питер Брейгель,Питер Брьогел Стари,Pieter Bruegel starejši,Pieter Bruegel,m,Pieter Bruegel the Elder
951,Kofi Annan,Кофі Анан,Кофі Аннан,Кофи Аннан,Кофи Анан,Kofi Anan,Kofi Annan,m,Kofi Annan
952,Arthur Conan Doyle,Артур Конан Дойл,Конан Артур,Артур Дойл,Артър Конан Дойл,Arthur Conan Doyle,Arthur Conan Doyle,m,Arthur Conan Doyle
953,Frédéric Beigbeder,Фрэдэрык Бегбедэр,Фредерік Беґбеде,Фредерик Бегбедер,Фредерик Бегбеде,Frédéric Beigbeder,Frédéric Beigbeder,m,Frédéric Beigbeder
954,Hieronim z Pragi,Геранім Пражскі,Ієронім Празький,Иероним Пражский,Йероним Пражки,Hieronim Praški,Jeroným Pražský,m,Jerome of Prague
955,Roland Barthes,Ралан Барт,Ролан Барт,Ролан Барт,Ролан Барт,Roland Barthes,Roland Barthes,m,Roland Barthes
956,Peter Falk,Пітэр Фальк,Пітер Фальк,Питер Фальк,Питър Фолк,Peter Falk,Peter Falk,m,Peter Falk
957,Viktor Orbán,Віктар Орбан,Віктор Орбан,Виктор Орбан,Виктор Орбан,Viktor Orbán,Viktor Orbán,m,Viktor Orbán
958,Clint Eastwood,Клінт Іствуд,Клінт Іствуд,Клинт Иствуд,Клинт Истууд,Clint Eastwood,Clint Eastwood,m,Clint Eastwood
959,Adriano ,Адрыяну Лейты Рыбейру,Адріано Лейте Рібейро,Адриано Лейте Рибейро,Адриано Лейте,Adriano Leite Ribeiro,Adriano Leite Ribeiro,m,Adriano
960,Paul Gauguin,Поль Гаген,Поль Гоген,Поль Гоген,Пол Гоген,Paul Gauguin,Paul Gauguin,m,Paul Gauguin
961,Mauricio Isla,Маўрысіа Ісла,Маурісіо Ісла,Маурисио Исла,Маурисио Исла,Mauricio Isla,Mauricio Isla,m,Mauricio Isla
962,Kalidasa,Калідаса,Калідаса,Калидаса,Калидаса,Kalidasa,Kálidása,m,Kalidasa
963,Louis Armstrong,Луі Армстранг,Луї Армстронг,Луи Армстронг,Луис Армстронг,Louis Armstrong,Louis Armstrong,m,Louis Armstrong
964,Édith Piaf,Эдзіт Піяф,Едіт Піаф,Эдит Пиаф,Едит Пиаф,Edith Piaf,Édith Piaf,f,Édith Piaf
965,Umm Kulsum,Ум Кульсум,Ум Кульсум,Умм Кульсум,Ум Кулсум,Um Kultum,Umm Kulthum,f,Umm Kulthum
966,Leonhard Euler,Леанард Эйлер,Леонард Ейлер,Леонард Эйлер,Леонард Ойлер,Leonhard Euler,Leonhard Euler,m,Leonhard Euler
967,Michael Faraday,Майкл Фарадэй,Майкл Фарадей,Майкл Фарадей,Майкъл Фарадей,Michael Faraday,Michael Faraday,m,Michael Faraday
968,Enrico Fermi,Энрыка Фермі,Енріко Фермі,Энрико Ферми,Енрико Ферми,Enrico Fermi,Enrico Fermi,m,Enrico Fermi
969,Sophia Loren,Сафі Ларэн,Софі Лорен,Софи Лорен,София Лорен,Sophia Loren,Sophia Lorenová,f,Sophia Loren
970,Brigitte Bardot,Брыжыт Бардо,Бріжіт Бардо,Брижит Бардо,Брижит Бардо,Brigitte Bardot,Brigitte Bardotová,f,Brigitte Bardot
971,Walentina Tierieszkowa,Валянціна Уладзіміраўна Церашкова,Валентина Терешкова,Валентина Терешкова,Валентина Терешкова,Valentina Tereškova,Valentina Těreškovová,f,Valentina Tereshkova
972,David Livingstone,Давід Лівінгстан,Девід Лівінгстон,Давид Ливингстон,Дейвид Ливингстън,David Livingstone,David Livingstone,m,David Livingstone
973,Jean-Baptiste de Lamarck,Жан-Батыст Ламарк,Жан Ламарк,Жан Ламарк,Жан-Батист Ламарк,Jean-Baptiste de Lamarck,Jean-Baptiste Lamarck,m,Jean-Baptiste Lamarck
974,Samuel Finley Breese Morse,Самуэль Морзэ,Семюел Фінлі Бріз Морзе,Сэмюэл Морзе,Самюъл Морз,Samuel Finley Breese Morse,Samuel F. B. Morse,m,Samuel Morse
975,Jack Kilby,Джэк Кілбі,Джек Кілбі,Джек Килби,Джак Килби,Jack St. Clair Kilby,Jack Kilby,m,Jack Kilby
976,Karol I Andegaweński,Карл I Анжуйскі,Карл I ,Карл I Анжуйский,Шарл I Анжуйски,Karel I. Anžujski,Karel I. z Anjou,m,Charles I of Anjou
977,Hayreddin,Хайрадзін Барбароса,Хайр ад-Дін Барбаросса,Хайреддин Барбаросса,Хайредин Барбароса,Hajredin Barbarosa,Chajruddín Barbarossa,m,Hayreddin Barbarossa
978,Avril Lavigne,Аўрыл Лавін,Авріл Лавінь,Аврил Лавин,Аврил Лавин,Avril Lavigne,Avril Lavigne,f,Avril Lavigne
979,Thomas Edward Lawrence,Томас Эдвард Лоўрэнс,Едвард Томас,Томас Лоуренс,Томас Лорънс,Thomas Edward Lawrence,Thomas Edward Lawrence,m,T. E. Lawrence
980,Emir Kusturica,Эмір Кустурыца,Емир Кустуриця,Эмир Кустурица,Емир Кустурица,Emir Kusturica,Emir Kusturica,m,Emir Kusturica
981,Gustave Eiffel,Аляксандр Гюстаў Эйфель,Гюстав Ейфель,Гюстав Эйфель,Густав Айфел,Gustave Eiffel,Gustave Eiffel,m,Gustave Eiffel
982,Jasir Arafat,Ясір Арафат,Ясір Арафат,Ясир Арафат,Ясер Арафат,Jaser Arafat,Jásir Arafat,m,Yasser Arafat
983,Nostradamus,Настрадамус,Нострадамус,Нострадамус,Нострадамус,Nostradamus,Nostradamus,m,Nostradamus
984,George Sand,Жорж Санд,Жорж Санд,Жорж Санд,Жорж Санд,George Sand,George Sandová,f,George Sand
985,Tarja Halonen,Тар’я Халанен,Тар'я Галонен,Тарья Халонен,Таря Халонен,Tarja Halonen,Tarja Halonenová,f,Tarja Halonen
986,Anders Fogh Rasmussen,Андэрс Фог Расмусен,Андерс Расмуссен,Андерс Расмуссен,Андерс Фог Расмусен,Anders Fogh Rasmussen,Anders Fogh Rasmussen,m,Anders Fogh Rasmussen
987,Geta ,Луцый Публій Септымій Гета,Гета ,Гета,Публий Септимий Гета,Publij Septimij Geta,Geta,m,Geta
988,Tom Cruise,Том Круз,Том Круз,Том Круз,Том Круз,Tom Cruise,Tom Cruise,m,Tom Cruise
989,Giorgio Vasari,Джорджа Вазары,Джорджо Вазарі,Джорджо Вазари,Джорджо Вазари,Giorgio Vasari,Giorgio Vasari,m,Giorgio Vasari
990,Jim Morrison,Джым Морысан,Джим Моррісон,Джим Моррисон,Джим Морисън,Jim Morrison,Jim Morrison,m,Jim Morrison
991,Astor Piazzolla,Астар П’яцола,Астор П'яццола,Астор Пьяццолла,Астор Пиацола,Astor Piazzolla,Ástor Piazzolla,m,Astor Piazzolla
992,Ivo Andrić,Іва Андрыч,Іво Андрич,Иво Андрич,Иво Андрич,Ivo Andrić,Ivo Andrić,m,Ivo Andrić
993,Günter Grass,Гюнтэр Грас,Гюнтер Грасс,Гюнтер Грасс,Гюнтер Грас,Günter Grass,Günter Grass,m,Günter Grass
994,Jorge Rafael Videla,Хорхэ Відэла,Рафаель Хорхе,Хорхе Видела,Хорхе Рафаел Видела,Jorge Rafael Videla,Jorge Rafael Videla,m,Jorge Rafael Videla
995,Joachim Löw,Ёахім Лёў,Йоахім Лев,Йоахим Лёв,Йоахим Льов,Joachim Löw,Joachim Löw,m,Joachim Löw
996,Jean Jaurès,Жан Жарэс,Жан Жорес,Жан Жорес,Жан Жорес,Jean Jaurès,Jean Jaurès,m,Jean Jaurès
997,Dalida,Даліда,Даліда,Далида,Далида,Dalida,Dalida,f,Dalida
998,Sophie Monk,Сафі Монк,Софі Монк,Софи Монк,Софи Монк,Sophie Monk,Sophie Monk,f,Sophie Monk
999,Selena,Селена Кінтанілья-Перэс,Селена Кінтанілья-Перес,Селена ,Селена ,Selena ,Selena,f,Selene
1000,Desmond Tutu,Дэсманд Туту,Десмонд Туту,Десмонд Туту,Дезмънд Туту,Desmond Tutu,Desmond Tutu,m,Desmond Tutu
1001,Frank Sinatra,Фрэнк Сінатра,Френк Сінатра,Фрэнк Синатра,Франк Синатра,Frank Sinatra,Frank Sinatra,m,Frank Sinatra
1002,Owidiusz,Авідзій,Овідій,Овидий,Овидий,Publij Ovidij Naso,Publius Ovidius Naso,m,Ovid
1003,Abu Nuwas,Абу Нувас,Абу-Нувас,Абу Нувас,Абу Нувас,Abu Nuvas,Abú Nuwás,m,Abu Nuwas
1004,Dawid Ben Gurion,Давід Бен-Гурыён,Давид Бен-Ґуріон,Давид Бен-Гурион,Давид Бен-Гурион,David Ben-Gurion,David Ben Gurion,m,David Ben-Gurion
1005,Elżbieta I Tudor,Лізавета I,Єлизавета I,Елизавета I,Елизабет I,Elizabeta I. Angleška,Alžběta I,f,Elizabeth I
1006,Timur Chromy,Тамерлан,Тимур,Тамерлан,Тимур,Timur Lenk,Tamerlán,m,Timur
1007,James Chadwick,Джэймс Чэдвік,Джеймс Чедвік,Джеймс Чедвик,Джеймс Чадуик,James Chadwick,James Chadwick,m,James Chadwick
1008,Arthur Compton,Артур Комптан,Артур Комптон,Артур Комптон,Артър Холи Комптън,Arthur Holly Compton,Arthur Holly Compton,m,Arthur Compton
1009,Aśoka,Ашока,Ашока,Ашока,Ашока,Ašoka Veliki,Ašóka,m,Ashoka
1010,Sun Jat-sen,Сунь Ятсен,Сунь Ятсен,Сунь Ятсен,Сун Ятсен,Sun Jatsen,Sunjatsen,m,Sun Yat-sen
1011,Sukarno,Сукарна,Сукарно,Сукарно,Сукарно,Sukarno,Sukarno,m,Sukarno
1012,José Martí,Хасэ Марці,Хосе Марті,Хосе Марти,Хосе Марти,José Martí,José Martí,m,José Martí
1013,Michelangelo Antonioni,Мікеланджэла Антаніоні,Мікеланджело Антоніоні,Микеланджело Антониони,Микеланджело Антониони,Michelangelo Antonioni,Michelangelo Antonioni,m,Michelangelo Antonioni
1014,Umar ibn al-Chattab,Умар ібн аль-Хатаб,Умар ібн аль-Хаттаб,Умар ибн аль-Хаттаб,Омар ,Omar ,Umar ibn al-Chattáb,m,Lobster
1015,Golda Meir,Голда Меір,Голда Меїр,Голда Меир,Голда Меир,Golda Meir,Golda Meirová,f,Golda Meir
1016,Heinrich Heine,Генрых Гейнэ,Генріх Гейне,Генрих Гейне,Хайнрих Хайне,Heinrich Heine,Heinrich Heine,m,Heinrich Heine
1017,Krzysztof Kamil Baczyński,Кшыштаф Каміль Бачыньскі,Кшиштоф Бачинський,Кшиштоф Бачинский,Кшищоф Камил Бачински,Krzysztof Kamil Baczyński,Krzysztof Kamil Baczyński,m,Krzysztof Kamil Baczyński
1018,Friedrich Engels,Фрыдрых Энгельс,Фрідріх Енгельс,Фридрих Энгельс,Фридрих Енгелс,Friedrich Engels,Friedrich Engels,m,Friedrich Engels
1019,Valon Behrami,Валон Бехрамі,Валон Беграмі,Валон Бехрами,Валон Бехрами,Valon Behrami,Valon Behrami,m,Valon Behrami
1020,Michaił Łomonosow,М. Ламаносаў,Михайло Ломоносов,Михаил Ломоносов,Михаил Ломоносов,Mihail Vasiljevič Lomonosov,Michail Lomonosov,m,Mikhail Lomonosov
1021,George Bernard Shaw,Бернард Шоў,Бернард Шоу,Джордж Шоу,Джордж Бърнард Шоу,George Bernard Shaw,George Bernard Shaw,m,George Bernard Shaw
1022,Dustin Hoffman,Дасцін Хофман,Дастін Гоффман,Дастин Хоффман,Дъстин Хофман,Dustin Hoffman,Dustin Hoffman,m,Dustin Hoffman
1023,Paul Dirac,Поль Дзірак,Поль Дірак,Поль Дирак,Пол Дирак,Paul Adrien Maurice Dirac,Paul Dirac,m,Paul Dirac
1024,Karol II Andegaweński,Карл II Анжуйскі,Карл II ,Карл II Анжуйский,Шарл II Анжуйски,Karel II. Anžujski,Karel II. Neapolský,m,Charles II of Naples
1025,George Soros,Джордж Сорас,Джордж Сорос,Джордж Сорос,Джордж Сорос,George Soros,George Soros,m,George Soros
1026,Dżochar Dudajew,Джахар Мусаевіч Дудаеў,Джохар Дудаєв,Джохар Дудаев,Джохар Дудаев,Džohar Dudajev,Džochar Dudajev,m,Dzhokhar Dudayev
1027,Erwin Schrödinger,Эрвін Шродзінгер,Ервін Шредінгер,Эрвин Шрёдингер,Ервин Шрьодингер,Erwin Schrödinger,Erwin Schrödinger,m,Erwin Schrödinger
1028,Igor Strawinski,Ігар Фёдаравіч Стравінскі,Ігор Стравинський,Игорь Стравинский,Игор Стравински,Igor Stravinski,Igor Stravinskij,m,Igor Stravinsky
1029,Herbert George Wells,Герберт Уэлс,Герберт Веллс,Герберт Уэллс,Хърбърт Уелс,Herbert George Wells,Herbert George Wells,m,H. G. Wells
1030,Mila Kunis,Міла Куніс,Міла Куніс,Мила Кунис,Мила Кунис,Mila Kunis,Mila Kunis,f,Mila Kunis
1031,Walter Scott,Вальтэр Скот,Вальтер Скотт,Вальтер Скотт,Уолтър Скот,Walter Scott,Walter Scott,m,Walter Scott
1032,Léopold Sédar Senghor,Леапольд Седар Сенгор,Седар Леопольд,Леопольд Сенгор,Леополд Седар Сенгор,Léopold Sédar Senghor,Léopold Sédar Senghor,m,Léopold Sédar Senghor
1033,Madonna ,Мадонна ,Мадонна ,Мадонна ,Мадона ,Madonna,Madonna,f,Madonna
1034,James Cameron,Джэймс Кэмеран,Джеймс Кемерон,Джеймс Кэмерон,Джеймс Камерън,James Cameron,James Cameron,m,James Cameron
1035,Tarja Turunen,Тар’я Турунен,Тар'я Турунен,Тарья Турунен,Таря Турунен,Tarja Turunen,Tarja Turunen,f,Tarja Turunen
1036,Alexander Graham Bell,Аляксандр Грэям Бел,Грем Александер,Александр Белл,Александър Бел,Alexander Graham Bell,Alexander Graham Bell,m,Alexander Graham Bell
1037,Walt Whitman,Уолт Уітмен,Волт Вітмен,Уолт Уитмен,Уолт Уитман,Walt Whitman,Walt Whitman,m,Walt Whitman
1038,Erich Raeder,Эрых Рэдэр,Еріх Редер,Эрих Редер,Ерих Редер,Erich Raeder,Erich Raeder,m,Erich Raeder
1039,Tennessee Williams,Тэнесі Уільямс,Теннессі Вільямс,Теннесси Уильямс,Тенеси Уилямс,Tennessee Williams,Tennessee Williams,m,Tennessee Williams
1040,Felix Mendelssohn-Bartholdy,Фелікс Мендэльсон,Фелікс Мендельсон,Феликс Мендельсон,Феликс Менделсон Бартолди,Felix Mendelssohn Bartholdy,Felix Mendelssohn-Bartholdy,m,Felix Mendelssohn
1041,Bolesław Prus,Баляслаў Прус,Болеслав Прус,Болеслав Прус,Болеслав Прус,Bolesław Prus,Bolesław Prus,m,Bolesław Prus
1042,Dmitrij Szostakowicz,Дзмітрый Дзмітрыевіч Шастаковіч,Дмитро Шостакович,Дмитрий Шостакович,Дмитрий Шостакович,Dmitrij Šostakovič,Dmitrij Šostakovič,m,Dmitri Shostakovich
1043,Samuel Beckett,Сэмюэл Бекет,Семюел Бекет,Сэмюэл Беккет,Самюъл Бекет,Samuel Beckett,Samuel Beckett,m,Samuel Beckett
1044,Shakira,Шакіра,Шакіра,Шакира,Шакира,Shakira,Shakira,f,Shakira
1045,Adriana Lima,Адрыяна Ліма,Адріана Ліма,Адриана Лима,Адриана Лима,Adriana Lima,Adriana Lima,f,Adriana Lima
1046,Alessandra Ambrosio,Алесандра Амбросіа,Алессандра Амброзіо,Алессандра Амбросио,Алесандра Амброзио,Alessandra Ambrosio,Alessandra Ambrosiová,f,Alessandra Ambrosio
1047,Harun ar-Raszid,Харун ар-Рашыд,Гарун ар-Рашид,Харун ар-Рашид,Харун ал-Рашид,Harun Al Rašid,Hárún ar-Rašíd,m,Harun al-Rashid
1048,İlham Əliyev,Ільхам Аліеў,Ільхам Алієв,Ильхам Алиев,Илхам Алиев,Ilham Alijev,Ilham Alijev,m,Ilham Aliyev
1049,Jean Marais,Жан Марэ,Жан Маре,Жан Маре,Жан Маре,Jean Marais,Jean Marais,m,Jean Marais
1050,Jean Cocteau,Жан Както,Жан Кокто,Жан Кокто,Жан Кокто,Jean Cocteau,Jean Cocteau,m,Jean Cocteau
1051,Coco Chanel,Како Шанэль,Коко Шанель,Коко Шанель,Коко Шанел,Coco Chanel,Coco Chanel,f,Coco Chanel
1052,Joe Dassin,Джо Дасэн,Джо Дассен,Джо Дассен,Жо Дасен,Joe Dassin,Joe Dassin,m,Joe Dassin
1053,Ajschylos,Эсхіл,Есхіл,Эсхил,Есхил,Ajshil,Aischylos,m,Aeschylus
1054,Ellen Johnson-Sirleaf,Элен Джонсан-Серліф,Елен Джонсон-Серліф,Элен Джонсон-Серлиф,Елън Джонсън Сърлийф,Ellen Johnson Sirleaf,Ellen Johnsonová-Sirleafová,f,Ellen Johnson Sirleaf
1055,Herman Melville,Герман Мелвіл,Герман Мелвілл,Герман Мелвилл,Херман Мелвил,Herman Melville,Herman Melville,m,Herman Melville
1056,Karol II Łysy,Карл II Лысы,Карл II Лисий,Карл II Лысый,Карл II Плешиви,Karel Plešasti,Karel II. Holý,m,Charles the Bald
1057,Korniej Czukowski,Карней Іванавіч Чукоўскі,Корній Чуковський,Корней Чуковский,Корней Чуковски,Kornej Ivanovič Čukovski,Korněj Čukovskij,m,Korney Chukovsky
1058,Herod Wielki,Ірад Вялікі,Ірод I Великий,Ирод I Великий,Ирод Велики,Herod Veliki,Herodes Veliký,m,Herod the Great
1059,Hu Jintao,Ху Цзіньтаа,Ху Цзіньтао,Ху Цзиньтао,Ху Дзинтао,Hu Džintao,Chu Ťin-tchao,m,Hu Jintao
1060,Gurbanguly Berdimuhamedow,Гурбангулы Бердымухамедаў,Гурбангули Бердимухамедов,Гурбангулы Бердымухамедов,Гурбангули Бердимухамедов,Gurbanguli Berdimuhamedov,Gurbanguly Berdimuhamedow,m,Gurbanguly Berdimuhamedow
1061,Valdis Zatlers,Валдыс Затлэрс,Валдіс Затлерс,Валдис Затлерс,Валдис Затлерс,Valdis Zatlers,Valdis Zatlers,m,Valdis Zatlers
1062,Toomas Hendrik Ilves,Тоамас Хендрык Ільвес,Гендрік Тоомас,Тоомас Ильвес,Тоомас Хендрик Илвес,Toomas Hendrik Ilves,Toomas Hendrik Ilves,m,Toomas Hendrik Ilves
1063,Harald V,Харальд V,Гаральд V,Харальд V,Харалд V,Harald V. Norveški,Harald V,m,Harald V of Norway
1064,Karol XVI Gustaw,Карл XVI Густаў,Карл XVI Густав,Карл XVI Густав,Карл XVI Густаф,Karel XVI. Gustav Švedski,Karel XVI. Gustav,m,Carl XVI Gustaf
1065,Giorgio Napolitano,Джорджа Напалітана,Джорджо Наполітано,Джорджо Наполитано,Джорджо Наполитано,Giorgio Napolitano,Giorgio Napolitano,m,Giorgio Napolitano
1066,Romano Prodi,Рамана Продзі,Романо Проді,Романо Проди,Романо Проди,Romano Prodi,Romano Prodi,m,Romano Prodi
1067,Alfred Wielki,Альфрэд Вялікі,Альфред I Великий,Альфред Великий,Алфред Велики,Alfred Veliki,Alfréd Veliký,m,Alfred the Great
1068,Mu’ammar al-Kaddafi,Муамар Кадафі,Муаммар Каддафі,Муаммар Каддафи,Муамар Кадафи,Omar Moamer el Gadafi,Muammar Kaddáfí,m,Muammar Gaddafi
1069,Święta Anna,Святая Ганна,Анна ,Святая Анна,Анна ,Sveta Ana,Svatá Anna,f,Saint Anne
1070,Siergiej Ławrow,Сяргей Віктаравіч Лаўроў,Сергій Лавров,Сергей Лавров,Сергей Лавров,Sergej Lavrov,Sergej Lavrov,m,Sergey Lavrov
1071,Heinz Fischer,Хайнц Фішэр,Гайнц Фішер,Хайнц Фишер,Хайнц Фишер,Heinz Fischer,Heinz Fischer,m,Heinz Fischer
1072,Traian Băsescu,Траян Бэсеску,Траян Бесеску,Траян Бэсеску,Траян Бъсеску,Traian Băsescu,Traian Băsescu,m,Traian Băsescu
1073,Janez Drnovšek,Янез Дрноўшак,Янез Дрновшек,Янез Дрновшек,Янез Дърновшек,Janez Drnovšek,Janez Drnovšek,m,Janez Drnovšek
1074,Danilo Türk,Даніла Цюрк,Данило Тюрк,Данило Тюрк,Данило Тюрк,Danilo Türk,Danilo Türk,m,Danilo Türk
1075,Milan Kučan,Мілан Кучан,Мілан Кучан,Милан Кучан,Милан Кучан,Milan Kučan,Milan Kučan,m,Milan Kučan
1076,Abdullah Gül,Абдула Гюль,Абдулла Гюль,Абдуллах Гюль,Абдуллах Гюл,Abdullah Gül,Abdullah Gül,m,Abdullah Gül
1077,Daniel Ortega,Даніэль Артэга,Данієль Ортега,Даниэль Ортега,Даниел Ортега,Daniel Ortega,Daniel Ortega,m,Daniel Ortega
1078,Valdis Dombrovskis,Валдыс Домбраўскіс,Валдіс Домбровскіс,Валдис Домбровскис,Валдис Домбровскис,Valdis Dombrovskis,Valdis Dombrovskis,m,Valdis Dombrovskis
1079,Ivo Josipović,Іва Ёсіпавіч,Іво Йосипович,Иво Йосипович,Иво Йосипович,Ivo Josipović,Ivo Josipović,f,Ivo Josipović
1080,Jean-Claude Juncker,Жан-Клод Юнкер,Жан-Клод Юнкер,Жан-Клод Юнкер,Жан-Клод Юнкер,Jean-Claude Juncker,Jean-Claude Juncker,m,Jean-Claude Juncker
1081,Akihito ,Акіхіта,Акіхіто,Акихито,Акихито,Akihito,Akihito,m,Akihito
1082,Butrus Butrus Ghali,Бутрас Бутрас-Галі,Бутрос Бутрос,Бутрос Бутрос-Гали,Бутрос Бутрос-Гали,Butros Butros-Gali,Butrus Butrus-Ghálí,m,Boutros Boutros-Ghali
1083,Trygve Lie,Тругвэ Лі,Гальвдан Трюгве,Трюгве Ли,Трюгве Ли,Trygve Lie,Trygve Lie,m,Trygve Lie
1084,U Thant,У Тан,У Тан,У Тан,У Тан,U Tant,U Thant,m,U Thant
1085,Kurt Waldheim,Курт Вальдхайм,Курт Вальдгайм,Курт Вальдхайм,Курт Валдхайм,Kurt Waldheim,Kurt Waldheim,m,Kurt Waldheim
1086,Grigorij Perelman,Рыгор Якаўлевіч Перэльман,Григорій Перельман,Григорий Перельман,Григорий Перелман,Grigorij Jakovljevič Perelman,Grigorij Perelman,m,Grigori Perelman
1087,Raúl Castro,Рауль Кастра,Рауль Кастро,Рауль Кастро,Раул Кастро,Raúl Castro,Raúl Castro,m,Raúl Castro
1088,Jens Stoltenberg,Енс Столтэнберг,Єнс Столтенберг,Йенс Столтенберг,Йенс Столтенберг,Jens Stoltenberg,Jens Stoltenberg,m,Jens Stoltenberg
1089,Aníbal Cavaco Silva,Анібал Каваку Сілва,Каваку Анібал,Анибал Каваку Силва,Анибал Каваку Силва,Aníbal Cavaco Silva,Aníbal Cavaco Silva,m,Aníbal Cavaco Silva
1090,Sebastián Piñera,Себасцьян Піньера,Себастьян Піньєра,Себастьян Пиньера,Себастиан Пинера,Sebastián Piñera,Sebastián Piñera,m,Sebastián Piñera
1091,Jiang Zemin,Цзян Цзэмінь,Цзян Цземінь,Цзян Цзэминь,Дзян Дзъмин,Džjang Dzemin,Ťiang Ce-min,m,Jiang Zemin
1092,Louis Leakey,Луіс Лікі,Луїс Лікі,Луис Лики,Луис Лики,Louis Leakey,Louis Leakey,m,Louis Leakey
1093,Alexander Pope,Аляксандр Поўп,Александер Поуп,Александр Поуп,Александър Поуп,Alexander Pope,Alexander Pope,m,Alexander Pope
1094,Jonathan Swift,Джонатан Свіфт,Джонатан Свіфт,Джонатан Свифт,Джонатан Суифт,Jonathan Swift,Jonathan Swift,m,Jonathan Swift
1095,Teofilakt Symokatta,Феафілакт Сімаката,Феофілакт Сімокатта,Феофилакт Симокатта,Теофилакт Симоката,Teofilakt Simokat,Theofylaktos Simokattés,m,Theophylact Simocatta
1096,Marcjon,Маркіён,Маркіон,Маркион,Маркион,Markion,Markión,m,Marcion of Sinope
1097,Mario Vargas Llosa,Марыа Варгас Льёса,Маріо Варгас Льйоса,Марио Варгас Льоса,Марио Варгас Льоса,Mario Vargas Llosa,Mario Vargas Llosa,m,Mario Vargas Llosa
1098,Giotto di Bondone,Джота дзі Бандонэ,Джотто ді Бондоне,Джотто ди Бондоне,Джото,Giotto di Bondone,Giotto di Bondone,m,Giotto
1099,Cimabue,Чымабуэ,Чімабуе,Чимабуэ,Чимабуе,Cimabue,Cimabue,m,Cimabue
1100,Herta Müller,Герта Мюлер,Герта Мюллер,Герта Мюллер,Херта Мюлер,Herta Müller,Herta Müllerová,f,Herta Müller
1101,Doris Lessing,Дорыс Лесінг,Доріс Лессінг,Дорис Лессинг,Дорис Лесинг,Doris Lessing,Doris Lessingová,f,Doris Lessing
1102,Harold Pinter,Гаральд Пінтэр,Гарольд Пінтер,Гарольд Пинтер,Харолд Пинтър,Harold Pinter,Harold Pinter,m,Harold Pinter
1103,Gao Xingjian,Гаа Сінцянь,Гао Сінцзянь,Гао Синцзянь,Гао Синдзиен,Gao Šingdžjan,Kao Sing-ťien,m,Gao Xingjian
1104,John Maxwell Coetzee,Джон Максвел Кутзее,Джон Кутзее,Джон Кутзее,Дж. М. Кутси,John Maxwell Coetzee,John Maxwell Coetzee,m,J. M. Coetzee
1105,Duccio di Buoninsegna,Дуча дзі Буанінсенья,Дуччо ді Буонінсенья,Дуччо ди Буонинсенья,Дучо ди Буонинсеня,Duccio di Buoninsegna,Duccio di Buoninsegna,m,Duccio
